id,claim_id,rebuttal_id,sort_order
360,48,414,1
361,48,415,1
362,48,420,3
363,48,422,1
364,48,430,1
365,48,432,1
366,48,433,2
367,48,440,2
368,48,441,1
369,48,441,1
370,48,442,1
371,48,444,1
372,48,445,1
373,48,446,3
374,48,447,1
375,48,448,1
376,48,455,1
377,48,464,1
378,48,465,1
379,48,469,3
380,48,470,2
381,48,471,1
382,48,472,2
383,48,473,2
384,48,474,1
385,48,475,1
386,48,476,1
387,48,477,1
388,48,478,1
389,48,479,1
390,48,480,2
391,48,481,1
392,48,482,2
393,48,484,1
394,48,488,1
395,48,494,1
396,48,508,2
397,48,509,2
398,48,510,2
399,48,511,2
400,48,513,2
401,48,514,2
402,48,515,2
403,48,516,2
404,48,517,2
405,48,518,2
406,48,519,2
407,48,520,2
408,48,522,2
409,48,523,2
410,48,524,2
411,48,525,2
412,48,526,1
413,48,529,1
414,111,408,1
415,111,472,1
416,111,508,1
417,111,509,1
418,111,510,1
419,111,511,1
420,111,513,1
421,111,514,1
422,111,515,1
423,111,516,1
424,111,517,1
425,111,518,1
426,111,519,1
427,111,520,1
428,111,522,1
429,111,523,1
430,111,524,1
431,111,525,1
432,111,528,1
433,111,529,1
434,61,229,1
435,61,230,2
436,61,231,1
437,61,242,1
438,61,324,2
439,61,389,1
440,61,423,1
441,49,94,1
442,38,42,2
443,38,43,2
444,38,44,2
445,38,45,3
446,38,46,4
447,38,47,3
448,38,61,1
449,38,112,2
450,38,150,1
451,38,162,2
452,38,163,2
453,38,164,1
454,38,168,3
455,38,188,1
456,38,203,3
457,38,236,1
458,38,237,2
459,38,246,1
460,38,269,2
461,38,307,2
462,38,317,2
463,38,324,1
464,38,353,1
465,38,366,1
466,38,367,2
467,38,424,1
468,38,440,1
469,38,469,1
470,38,483,1
471,38,489,2
472,39,41,1
473,39,42,2
474,39,112,2
475,39,168,3
476,39,246,2
477,39,353,1
478,39,407,2
479,50,132,1
480,50,133,1
481,50,134,1
482,50,135,1
483,50,161,1
484,50,187,2
485,50,194,1
486,50,206,2
487,50,488,1
488,51,353,1
489,52,168,1
490,52,269,1
491,52,371,2
492,54,149,1
493,54,172,1
494,54,271,1
495,54,407,2
496,55,174,2
497,55,175,3
498,55,180,1
499,56,175,1
500,57,176,1
501,57,177,2
502,57,178,2
503,57,179,2
504,59,189,1
505,59,288,1
506,60,193,1
507,60,429,1
508,63,200,1
509,64,209,1
510,65,217,1
511,66,200,2
512,66,218,1
513,66,292,1
514,67,220,1
515,67,221,2
516,67,222,2
517,68,152,1
518,68,207,1
519,68,227,1
520,68,228,1
521,68,249,1
522,68,303,1
523,69,226,1
524,69,237,1
525,69,358,1
526,69,440,1
527,69,483,1
528,69,489,1
529,69,491,1
530,70,232,1
531,70,261,1
532,70,309,1
533,70,315,1
534,70,342,1
535,70,392,1
536,70,449,1
537,70,450,1
538,71,233,1
539,71,234,1
540,71,294,1
541,71,316,1
542,72,235,1
543,74,243,1
544,74,244,1
545,75,5,1
546,76,248,1
547,76,303,1
548,76,355,2
549,76,393,2
550,77,268,1
551,78,272,1
552,78,402,1
553,78,486,1
554,79,282,1
555,80,5,1
556,80,283,1
557,82,5,2
558,82,39,3
559,82,225,3
560,82,286,1
561,82,470,1
562,83,290,1
563,84,295,1
564,84,296,1
565,84,297,1
566,84,298,1
567,84,329,1
568,84,394,1
569,84,395,1
570,84,396,1
571,84,397,1
572,84,398,1
573,84,399,1
574,84,468,1
575,85,170,2
576,85,183,2
577,85,187,3
578,85,202,2
579,85,211,3
580,85,212,2
581,85,213,2
582,85,214,2
583,85,215,3
584,85,223,2
585,85,262,2
586,85,270,2
587,85,279,2
588,85,284,1
589,85,285,1
590,85,287,1
591,85,289,1
592,85,310,1
593,85,312,1
594,85,313,1
595,85,321,1
596,85,326,1
597,85,341,1
598,85,345,1
599,85,346,1
600,85,351,1
601,85,357,3
602,85,358,2
603,85,365,1
604,85,373,1
605,85,374,3
606,85,382,1
607,85,383,1
608,85,384,1
609,85,385,1
610,85,386,1
611,85,387,1
612,85,388,1
613,85,400,1
614,85,421,2
615,85,434,1
616,85,437,3
617,85,438,1
618,85,451,1
619,85,452,3
620,85,453,1
621,85,460,1
622,85,462,1
623,85,490,1
624,86,314,1
625,87,317,1
626,88,328,1
627,88,330,1
628,88,331,1
629,88,332,1
630,88,333,1
631,88,334,1
632,88,335,1
633,88,336,1
634,88,337,1
635,88,338,1
636,88,340,1
637,88,369,1
638,88,424,2
639,88,512,1
640,89,339,1
641,90,130,1
642,90,131,2
643,90,347,1
644,90,378,3
645,90,379,2
646,90,409,1
647,90,420,3
648,90,440,2
649,90,441,2
650,90,442,1
651,90,482,1
652,90,489,1
653,91,348,1
654,91,371,1
655,92,120,1
656,92,352,1
657,93,116,1
658,93,355,1
659,93,356,1
660,93,407,3
661,94,367,1
662,94,427,1
663,95,323,1
664,95,390,1
665,95,401,1
666,95,424,2
667,95,425,1
668,95,427,1
669,95,463,1
670,96,55,1
671,96,391,1
672,96,404,1
673,96,443,1
674,96,459,1
675,96,461,1
676,96,467,1
677,96,499,1
678,97,393,1
679,98,393,1
680,98,411,1
681,98,424,3
682,98,426,2
683,98,427,1
684,98,435,1
685,99,424,1
686,99,427,1
687,99,427,2
688,99,439,1
689,99,445,1
690,99,463,1
691,100,441,1
692,100,441,1
693,100,442,1
694,101,403,1
695,101,457,1
696,102,471,1
697,102,480,1
698,102,481,1
699,102,531,1
700,102,532,1
701,102,533,1
702,102,534,1
703,102,535,1
704,102,536,1
705,102,537,1
706,103,380,1
707,103,473,1
708,103,480,1
709,103,481,1
710,103,495,1
711,104,496,1
712,104,521,1
713,104,528,1
715,105,497,1
716,106,498,1
717,107,500,1
718,107,501,1
719,107,502,1
720,107,530,1
721,108,504,1
722,109,505,1
723,110,506,1
724,110,507,1
